sensor0,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0.10261481815521689,0.11714644041803313,0.45267313184660163,0.8254298437818675,0.6707254332970807,0.45365810314196364,0.765854952614359
0.6775885357055869,0.07379538393522256,0.2386386334885715,0.299691718410932,0.7357538998010242,0.41428825833961835,0.644160277904393
0.7913747247488156,0.6305434294847463,0.41637212787917244,0.29993567725340975,0.18951750716203086,0.3917972616795785,0.4259976972897902
0.6893038532437382,0.6440034932437901,0.5801717296744756,0.7950642364198407,0.13857019831931494,0.7848438093444536,0.6305104734763918
0.6531212943424309,0.5899169753699849,0.2158567369709895,0.6953539880168375,0.5475942509223822,0.9897015234204932,0.01714501911449362
0.9341745027846683,0.9423098691257524,0.046811689271431645,0.449760504910358,0.6323999662611612,0.10413786904915356,0.31984914656372654
0.9866104277351767,0.7540177161604473,0.47885309708693524,0.07726275774239544,0.2555731654494492,0.5325241535500788,0.2598620777998125
0.14115612991663817,0.47395547974957886,0.48721428136703737,0.48722683703833136,0.9733445672392401,0.47783772117682277,0.8152809181890676
0.6794580068191407,0.5913385033969316,0.5055166930181643,0.4549200362475255,0.6968380077235004,0.5122820905276741,0.4811709948742009
0.24061537272718614,0.2625746260694162,0.8144768508550295,0.6630366321439102,0.4790022253906603,0.3268736832549324,0.578972297042062
